"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x927915340180443136","x1420012965449932802",2021-07-27 13:27:28,"amandaresaalva","It’s #BlackBotanistsWeek! 

We are Jamil and Jeremy, two self-taught botanists here in San Jose, California! We share photos from our garden along with fun plant facts, and sometimes we even host house plant care workshops!

#PlantsAroundTheGlobe #BlackBotanistsWeek2021 https://t.co/H6Q7jwmCIs","Twitter for iPhone",140,,,,FALSE,TRUE,0,192,,,"BlackBotanistsWeek",,,,,,,,,,,,,"x1280260886200848385","BlackBotanists","en",,,,,,,,,,,,,,,,"x1419663375424909314","It’s #BlackBotanistsWeek! 

We are Jamil and Jeremy, two self-taught botanists here in San Jose, California! We share photos from our garden along with fun plant facts, and sometimes we even host house plant care workshops!

#PlantsAroundTheGlobe #BlackBotanistsWeek2021 https://t.co/H6Q7jwmCIs",2021-07-26 14:18:19,"Twitter for iPhone",1057,192,"x1280260886200848385","BlackBotanists","The Black Botanists",2518,725,634,"San Jose, CA","Welcome to our garden! Follow us to learn plant facts and random gardening knowledge <U+0001F33A> - Jeremy & Jamil (he/him) — residing in occupied Ohlone territory",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/amandaresaalva/status/1420012965449932802","Amanda Alva","Auburn, AL","Auburn University Natural Resource MS <U+0001F41A><U+0001F3DB> BS Marine Science <U+0001F918><U+0001F3FC> Texas Ex she/her/ella","https://t.co/NqE0asBgH6",FALSE,357,1579,4,1699,15401,2017-11-07 15:07:11,FALSE,"https://t.co/NqE0asBgH6","https://wp.auburn.edu/conservationgovernancelab/",,"https://pbs.twimg.com/profile_banners/927915340180443136/1618346442","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1147172788295221248/46I0HHkw_normal.jpg"
"x1090991633263407106","x1420012694304743428",2021-07-27 13:26:23,"HarvardHerbaria","Today is the kickoff of #BlackBotanistsWeek2021!!!! I am #excited to meet #BlackBotanists from around the globe! Introduce yourself and let us know what your favorite #plant is!! #GlobalBotany #PlantsAroundTheGlobe #RollCall #BlackBotanistsWeek #PlantFriends https://t.co/GhdOAx7wEv","Twitter Web App",140,,,,FALSE,TRUE,0,41,,,"BlackBotanistsWeek2021 excited BlackBotanists",,,,,,,,,,,,,"x3300390725","T_Marie_Wms","en",,,,,,,,,,,,,,,,"x1419635751306895367","Today is the kickoff of #BlackBotanistsWeek2021!!!! I am #excited to meet #BlackBotanists from around the globe! Introduce yourself and let us know what your favorite #plant is!! #GlobalBotany #PlantsAroundTheGlobe #RollCall #BlackBotanistsWeek #PlantFriends https://t.co/GhdOAx7wEv",2021-07-26 12:28:33,"Twitter Web App",102,41,"x3300390725","T_Marie_Wms","Dr. Tanisha M. Williams <U+0001F333> #BlackBotanistsWeek <U+0001F33A>",8288,2423,9435,"","Postdoc @BucknellU | PhD @UConn | Plant ecology, evolution, conservation, climate science, Bayesian statistics, population genetics | #Fulbright | #scicomm",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HarvardHerbaria/status/1420012694304743428","Harvard University Herbaria","Cambridge, MA","The Harvard University Herbaria include 5+ million specimens of algae, bryophytes, fungi, and vascular plants, with complementary Libraries and Archives.","https://t.co/BDXCMKiiTZ",FALSE,1118,208,0,334,451,2019-01-31 15:14:09,FALSE,"https://t.co/BDXCMKiiTZ","https://huh.harvard.edu/",,"https://pbs.twimg.com/profile_banners/1090991633263407106/1548967650","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1091080724340367360/HDE_MiIz_normal.jpg"
"x1586018209","x1420012068518858764",2021-07-27 13:23:54,"mixotrophe","Hey y'all! I'm Kevin Cox-an @HHMINEWS Hanna Gray Fellow at the @DanforthCenter. I study plant diseases at a single-cell level to figure out how plants &amp; microbes talk to each other. I also use YouTube &amp; Twitch for #scicomm
and just to have fun with games! 1/2 #BlackBotanistsWeek https://t.co/VR8A9bYDTn","Twitter for iPad",140,,,,FALSE,TRUE,0,97,,,,,,,,,,,,,,,,"x1106237096388370443 x43199901 x55295275","K_Bioguy_Cox HHMINEWS DanforthCenter","en",,,,,,,,,,,,,,,,"x1419675716820557828","Hey y'all! I'm Kevin Cox-an @HHMINEWS Hanna Gray Fellow at the @DanforthCenter. I study plant diseases at a single-cell level to figure out how plants &amp; microbes talk to each other. I also use YouTube &amp; Twitch for #scicomm
and just to have fun with games! 1/2 #BlackBotanistsWeek https://t.co/VR8A9bYDTn",2021-07-26 15:07:21,"Twitter for Android",349,97,"x1106237096388370443","K_Bioguy_Cox","Kevin Cox Jr",3268,684,1698,"St Louis, MO","HHMI Hanna Gray Fellow at the @DanforthCenter studying plant-microbe interactions; SciComm advocate; YouTuber/Twitch streamer; Views & opinions are my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mixotrophe/status/1420012068518858764","Holly Moeller","Santa Barbara, CA","Jersey Girl, rain lover, zero chill, & done apologizing for it. Theoretician (Erdos # = 5) @eembucsb (#unicornjob<U+0001F984>). All good bugs photosynthesize. she/her","https://t.co/GMl5abdRTB",FALSE,1262,676,10,3218,4919,2013-07-11 14:29:49,FALSE,"https://t.co/GMl5abdRTB","http://moellerlab.org",,"https://pbs.twimg.com/profile_banners/1586018209/1373596170","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1414294485199060994/xbkqiYlN_normal.jpg"
"x1586018209","x1420011810191593477",2021-07-27 13:22:52,"mixotrophe","It’s #BlackBotanistsWeek! 

We are Jamil and Jeremy, two self-taught botanists here in San Jose, California! We share photos from our garden along with fun plant facts, and sometimes we even host house plant care workshops!

#PlantsAroundTheGlobe #BlackBotanistsWeek2021 https://t.co/H6Q7jwmCIs","Twitter for iPad",140,,,,FALSE,TRUE,0,192,,,"BlackBotanistsWeek",,,,,,,,,,,,,"x1280260886200848385","BlackBotanists","en",,,,,,,,,,,,,,,,"x1419663375424909314","It’s #BlackBotanistsWeek! 

We are Jamil and Jeremy, two self-taught botanists here in San Jose, California! We share photos from our garden along with fun plant facts, and sometimes we even host house plant care workshops!

#PlantsAroundTheGlobe #BlackBotanistsWeek2021 https://t.co/H6Q7jwmCIs",2021-07-26 14:18:19,"Twitter for iPhone",1057,192,"x1280260886200848385","BlackBotanists","The Black Botanists",2518,725,634,"San Jose, CA","Welcome to our garden! Follow us to learn plant facts and random gardening knowledge <U+0001F33A> - Jeremy & Jamil (he/him) — residing in occupied Ohlone territory",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mixotrophe/status/1420011810191593477","Holly Moeller","Santa Barbara, CA","Jersey Girl, rain lover, zero chill, & done apologizing for it. Theoretician (Erdos # = 5) @eembucsb (#unicornjob<U+0001F984>). All good bugs photosynthesize. she/her","https://t.co/GMl5abdRTB",FALSE,1262,676,10,3218,4919,2013-07-11 14:29:49,FALSE,"https://t.co/GMl5abdRTB","http://moellerlab.org",,"https://pbs.twimg.com/profile_banners/1586018209/1373596170","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1414294485199060994/xbkqiYlN_normal.jpg"
"x1586018209","x1419536238420189186",2021-07-26 05:53:07,"mixotrophe","<U+0001F1F3><U+0001F1EC> #BlackBotanistsWeek! 
I am a proud plant scientist and have been working on sorghum for the past two years <U+0001F917> I am also interested in other crops, but the fact that sorghum was first domesticated in Africa has super piqued my interest!!! #PlantsAroundTheGlobe 
#GlobalBotany https://t.co/PKoWgmT73g","Twitter for iPad",140,,,,FALSE,TRUE,0,97,,,"BlackBotanistsWeek",,,,,,,,,,,,,"x4723194633","Life_of_toyosi","en",,,,,,,,,,,,,,,,"x1419515823719321601","<U+0001F1F3><U+0001F1EC> #BlackBotanistsWeek! 
I am a proud plant scientist and have been working on sorghum for the past two years <U+0001F917> I am also interested in other crops, but the fact that sorghum was first domesticated in Africa has super piqued my interest!!! #PlantsAroundTheGlobe 
#GlobalBotany https://t.co/PKoWgmT73g",2021-07-26 04:32:00,"Twitter for iPhone",409,97,"x4723194633","Life_of_toyosi","Oluwatoyosi <U+0001F1F3><U+0001F1EC>",228,201,285,"People's Republic of China","Plant genomics graduate student,    Institute of Botany, Chinese Academy of Science #blackwomendoingscience interested in sorghum, maize, wheat, rice and barley",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mixotrophe/status/1419536238420189186","Holly Moeller","Santa Barbara, CA","Jersey Girl, rain lover, zero chill, & done apologizing for it. Theoretician (Erdos # = 5) @eembucsb (#unicornjob<U+0001F984>). All good bugs photosynthesize. she/her","https://t.co/GMl5abdRTB",FALSE,1262,676,10,3218,4919,2013-07-11 14:29:49,FALSE,"https://t.co/GMl5abdRTB","http://moellerlab.org",,"https://pbs.twimg.com/profile_banners/1586018209/1373596170","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1414294485199060994/xbkqiYlN_normal.jpg"
"x267770180","x1420012048134537222",2021-07-27 13:23:49,"rhi_peery","As #BlackBotanistsWeek kicks off today with a focus on #PlantsAroundTheGlobe and #GlobalBotany, we are honored to celebrate the work of Dr. Armand Randrianasolo, a veteran of the Garden's Madagascar program for more than 20 years. https://t.co/nQRnK78qaV","Twitter for iPhone",140,,,,FALSE,TRUE,0,23,,,"BlackBotanistsWeek PlantsAroundTheGlobe GlobalBotany",,,,,,,,,,,,,"x26076536","mobotgarden","en",,,,,,,,,,,,,,,,"x1419764122783293450","As #BlackBotanistsWeek kicks off today with a focus on #PlantsAroundTheGlobe and #GlobalBotany, we are honored to celebrate the work of Dr. Armand Randrianasolo, a veteran of the Garden's Madagascar program for more than 20 years. https://t.co/nQRnK78qaV",2021-07-26 20:58:39,"CoSchedule",67,23,"x26076536","mobotgarden","MO Botanical Garden",50610,386,12028,"St. Louis, MO USA","The Missouri Botanical Garden is an oasis in the city of St. Louis and a world leader in plant science, conservation, education and horticultural display.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rhi_peery/status/1420012048134537222","Dr. Rhiannon Peery","Edmonton, Alberta","she/her | Research Associate @Ualberta  | Gymnosperms | Forest health | phylogenomics | population genomics","https://t.co/QqMTNeZdK4",FALSE,380,621,5,1712,11180,2011-03-17 14:18:23,FALSE,"https://t.co/QqMTNeZdK4","http://rhiannonpeery.wordpress.com",,"https://pbs.twimg.com/profile_banners/267770180/1609452240","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/697854358541611008/73fYJKyn_normal.jpg"
"x267770180","x1419492383327080460",2021-07-26 02:58:51,"rhi_peery","So excited to get this year’s #BlackBotanistsWeek started tomorrow! Looking forward to seeing so everyone’s #BlackBotanicalLegacy all week long <U+0001F33A><U+0001F333><U+0001F33F><U+0001F33B><U+0001F341><U+0001F338><U+0001F334><U+0001F337><U+0001F38D><U+0001F342><U+0001F331> https://t.co/rHFGAUjKVv","Twitter for iPhone",140,,,,FALSE,TRUE,0,9,,,"BlackBotanistsWeek",,,,,,,,,,,,,"x1141559955859730432","sci_with_miy","en",,,,,,,,,,,,,,,,"x1419472464489246723","So excited to get this year’s #BlackBotanistsWeek started tomorrow! Looking forward to seeing so everyone’s #BlackBotanicalLegacy all week long <U+0001F33A><U+0001F333><U+0001F33F><U+0001F33B><U+0001F341><U+0001F338><U+0001F334><U+0001F337><U+0001F38D><U+0001F342><U+0001F331> https://t.co/rHFGAUjKVv",2021-07-26 01:39:42,"Twitter for iPhone",41,9,"x1141559955859730432","sci_with_miy","Miyauna Incarnato",1262,1028,1062,"Minnesota, USA","Biology grad student @UNLincoln<U+0001F98B><U+0001F338>@WoosterEdu ‘21<U+0001F41D>Field Assistant @InsideNatGeo<U+0001F33A> #BlackInSTEM #WomenInSTEM #BlackBotanistsWeek2021 she/her/hers <U+0001F308>",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rhi_peery/status/1419492383327080460","Dr. Rhiannon Peery","Edmonton, Alberta","she/her | Research Associate @Ualberta  | Gymnosperms | Forest health | phylogenomics | population genomics","https://t.co/QqMTNeZdK4",FALSE,380,621,5,1712,11180,2011-03-17 14:18:23,FALSE,"https://t.co/QqMTNeZdK4","http://rhiannonpeery.wordpress.com",,"https://pbs.twimg.com/profile_banners/267770180/1609452240","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/697854358541611008/73fYJKyn_normal.jpg"
"x68243677","x1420011693296476165",2021-07-27 13:22:24,"angelajmcd","As #BlackBotanistsWeek kicks off today with a focus on #PlantsAroundTheGlobe and #GlobalBotany, we are honored to celebrate the work of Dr. Armand Randrianasolo, a veteran of the Garden's Madagascar program for more than 20 years. https://t.co/nQRnK78qaV","Twitter for iPhone",140,,,,FALSE,TRUE,0,23,,,"BlackBotanistsWeek PlantsAroundTheGlobe GlobalBotany",,,,,,,,,,,,,"x26076536","mobotgarden","en",,,,,,,,,,,,,,,,"x1419764122783293450","As #BlackBotanistsWeek kicks off today with a focus on #PlantsAroundTheGlobe and #GlobalBotany, we are honored to celebrate the work of Dr. Armand Randrianasolo, a veteran of the Garden's Madagascar program for more than 20 years. https://t.co/nQRnK78qaV",2021-07-26 20:58:39,"CoSchedule",67,23,"x26076536","mobotgarden","MO Botanical Garden",50610,386,12028,"St. Louis, MO USA","The Missouri Botanical Garden is an oasis in the city of St. Louis and a world leader in plant science, conservation, education and horticultural display.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/angelajmcd/status/1420011693296476165","Angela McDonnell, PhD","United States","Science mercenary/pdf @chicagobotanic; <U+2764><U+FE0F>er of <U+0001F331>, <U+2615><U+FE0F>, & <U+0001F370>; alum of @okstate & @EdgewoodCollege; mom; she/her","https://t.co/4H7IhNXGxO",FALSE,2856,4641,39,5368,19982,2009-08-23 21:41:32,FALSE,"https://t.co/4H7IhNXGxO","http://angelajmcd.com",,"https://pbs.twimg.com/profile_banners/68243677/1502102659","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/935877637406429187/b3g3hWof_normal.jpg"
"x68243677","x1418567615203643399",2021-07-23 13:44:09,"angelajmcd","What a wonderful article to cap off an incredible week, #Botany2021---congratulations, @T_Marie_Wms  https://t.co/gfxMf7m2y3 #BlackBotanistsWeek #ASPT @BucknellU","Twitter for iPhone",140,,,,FALSE,TRUE,0,11,,,"Botany2021",,,,,,,,,,,,,"x34286572 x3300390725","Botanical_ T_Marie_Wms","en",,,,,,,,,,,,,,,,"x1418549831061155840","What a wonderful article to cap off an incredible week, #Botany2021---congratulations, @T_Marie_Wms  https://t.co/gfxMf7m2y3 #BlackBotanistsWeek #ASPT @BucknellU",2021-07-23 12:33:29,"Twitter Web App",49,11,"x34286572","Botanical_","Botanical Society of America",13591,3525,9031,"St. Louis, MO","Promoting plant scientists, plant research, and plant admiration since 1893. Publisher of #AJB, #AppsPlantSci and #PlantSciBull. Become a #BSAmember today!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/angelajmcd/status/1418567615203643399","Angela McDonnell, PhD","United States","Science mercenary/pdf @chicagobotanic; <U+2764><U+FE0F>er of <U+0001F331>, <U+2615><U+FE0F>, & <U+0001F370>; alum of @okstate & @EdgewoodCollege; mom; she/her","https://t.co/4H7IhNXGxO",FALSE,2856,4641,39,5368,19982,2009-08-23 21:41:32,FALSE,"https://t.co/4H7IhNXGxO","http://angelajmcd.com",,"https://pbs.twimg.com/profile_banners/68243677/1502102659","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/935877637406429187/b3g3hWof_normal.jpg"
"x68243677","x1419024426587262979",2021-07-24 19:59:22,"angelajmcd","Keep that great #Botany2021 Twitter energy going with #BlackBotanistsWeek2021--starts this Monday! 
Follow and amplify @BlkBotanistsWk and #BlackBotanistsWeek.
https://t.co/FAhaLqy3P8","Twitter Web App",140,,,,FALSE,TRUE,0,6,,,"Botany2021 BlackBotanistsWeek2021",,,,,,,,,,,,,"x1287910825269661696","HilaryRoseD","en",,,,,,,,,,,,,,,,"x1418967150610423808","Keep that great #Botany2021 Twitter energy going with #BlackBotanistsWeek2021--starts this Monday! 
Follow and amplify @BlkBotanistsWk and #BlackBotanistsWeek.
https://t.co/FAhaLqy3P8",2021-07-24 16:11:46,"Twitter Web App",11,6,"x1287910825269661696","HilaryRoseD","Hilary Rose Dawson",646,307,1007,"Eugene, Oregon","Everything is about plants in the end 
she/her <U+0001F3F3><U+FE0F><U+200D><U+0001F308>  #WomenInSTEM
@SPA_research Project manager 
@UOregon PhD student
@collegeatlantic '18
#IAmABotanist",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/angelajmcd/status/1419024426587262979","Angela McDonnell, PhD","United States","Science mercenary/pdf @chicagobotanic; <U+2764><U+FE0F>er of <U+0001F331>, <U+2615><U+FE0F>, & <U+0001F370>; alum of @okstate & @EdgewoodCollege; mom; she/her","https://t.co/4H7IhNXGxO",FALSE,2856,4641,39,5368,19982,2009-08-23 21:41:32,FALSE,"https://t.co/4H7IhNXGxO","http://angelajmcd.com",,"https://pbs.twimg.com/profile_banners/68243677/1502102659","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/935877637406429187/b3g3hWof_normal.jpg"
