"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Lagomarsino_L: Hey #botany2017 and #evol2017: I'm looking for grad students for Fall 2018 for lab @LSU_BioSci! #botany #phylogeny #Neot…",FALSE,0,NA,2017-06-29 20:27:37,FALSE,NA,"880523167323889664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jgerardhodge",48,TRUE,FALSE,NA,NA
"Great #bioinformatics work by Julien Boutte @ #botany2017 https://t.co/mE8zfBIgXQ",FALSE,2,NA,2017-06-29 20:01:52,FALSE,NA,"880516688990658562",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelajmcd",0,FALSE,FALSE,NA,NA
"Still thinkin bout @plantevomorph @AmSocPlantTaxon speech. Check &amp; know your biases. Aim for #equality on all front… https://t.co/ljqi6L3WZ2",FALSE,3,NA,2017-06-29 19:58:08,TRUE,NA,"880515747583107072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelajmcd",1,FALSE,FALSE,NA,NA
"RT @Lagomarsino_L: .@plantevomorph Check out your @AmSocPlantTaxon network, inc. gender balance, at link below. #botany2017 https://t.co/GV…",FALSE,0,NA,2017-06-29 19:51:37,FALSE,NA,"880514110462599168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tstou10",3,TRUE,FALSE,NA,NA
"RT @BarkerLab: How many simultaneous meetings can we have going on? I've got #Botany2017 #evol2017 #plantbio17 #6GBGC #forestgenetics2017.…",FALSE,0,NA,2017-06-29 19:51:04,FALSE,NA,"880513972629155840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","eswillwalker",8,TRUE,FALSE,NA,NA
"RT @FriedmanJannice: Loren Rieseberg: teach our children to love nature before asking them to save it @mtsengphd #Botany2017",FALSE,0,NA,2017-06-29 19:38:37,FALSE,NA,"880510836988444672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paradabeth",18,TRUE,FALSE,NA,NA
"RT @juliadupin: . @Lagomarsino_L standing room only for Laura's talk on speciation on Centropogon #Botany2017 https://t.co/TtD9Ykpl12",FALSE,0,NA,2017-06-29 18:55:44,FALSE,NA,"880500046990594050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tlpcouvreur",7,TRUE,FALSE,NA,NA
"Missed #botany2017 this time but I'm definitely going to #botany2018 even if just for this <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> https://t.co/KYVe9yNPNR",FALSE,0,NA,2017-06-29 18:38:45,FALSE,NA,"880495770176237568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chatterarty",0,FALSE,FALSE,NA,NA
"#BOTANY2017 https://t.co/gotQrlVDdP",FALSE,0,NA,2017-06-29 18:29:20,FALSE,NA,"880493400872583169",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","vatanparastm",0,FALSE,FALSE,NA,NA
"Thanks for a great meeting @Botanical_ giving chance to meet folks and see new researches on plants #BOTANY2017",FALSE,1,NA,2017-06-29 18:26:49,FALSE,NA,"880492767977377800",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","vatanparastm",0,FALSE,FALSE,NA,NA
