"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2724477037","x1414401095410061314",2021-07-12 01:47:54,"ejrollinson","#UpAllNightSunday #Botany2021 So is this the pre-party, or","TweetDeck",58,,,,FALSE,FALSE,4,0,,,"UpAllNightSunday Botany2021",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ejrollinson/status/1414401095410061314","Dr. Emily Rollinson","unceded Lenni-Lenape land","Black Lives Matter | generalist #ecology, facultative #rstats, obligate #iamabotanist | data coroner | Asst Prof @ ESU<U+4E28>she/her<U+4E28>Views my own<U+4E28>https://t.co/yF3IKFa356","https://t.co/wwdMGxkWvx",FALSE,1302,870,46,12169,16782,2014-08-11 18:29:02,FALSE,"https://t.co/wwdMGxkWvx","http://www.rollinsonecology.com",,"https://pbs.twimg.com/profile_banners/2724477037/1439087275","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1385413911206416385/YX-YLK68_normal.jpg"
"x578991574","x1414396544015536130",2021-07-12 01:29:48,"KZ_UTAustin","I am just all smiles and can't wait until July 26-31! 
<U+2728><U+0001F335><U+0001F344><U+0001F33A><U+0001F335><U+0001F333><U+0001F33E><U+0001F341><U+0001F33B><U+0001F337><U+0001F38D><U+0001F332><U+0001F33D><U+0001FAD0><U+0001F345><U+2728>
#BlackBotanistsWeek2021 @BlkBotanistsWk #BlackBotanicalLegacy #Botany2021 #Plants #BlackBotanists https://t.co/OGZDXv6Q4T","Twitter Web App",140,,,,FALSE,TRUE,0,11,,,"BlackBotanistsWeek2021",,,,,,,,,,,,,"x3300390725 x1283886282943365131","T_Marie_Wms BlkBotanistsWk","en",,,,,,,,,,,,,,,,"x1414250826235842562","I am just all smiles and can't wait until July 26-31! 
<U+2728><U+0001F335><U+0001F344><U+0001F33A><U+0001F335><U+0001F333><U+0001F33E><U+0001F341><U+0001F33B><U+0001F337><U+0001F38D><U+0001F332><U+0001F33D><U+0001FAD0><U+0001F345><U+2728>
#BlackBotanistsWeek2021 @BlkBotanistsWk #BlackBotanicalLegacy #Botany2021 #Plants #BlackBotanists https://t.co/OGZDXv6Q4T",2021-07-11 15:50:47,"Twitter Web App",38,11,"x3300390725","T_Marie_Wms","Dr. Tanisha M. Williams <U+0001F333> #BlackBotanistsWeek <U+0001F33A>",8103,2317,8614,"","Postdoc @BucknellU | PhD @UConn | Plant ecology, evolution, conservation, climate science, Bayesian statistics, population genetics | #Fulbright | #scicomm",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KZ_UTAustin/status/1414396544015536130","Dr. Kelly R. Zamudio <U+0001F438><U+0001F98E><U+0001F40D><U+0001F422>","Ithaca, New York, USA","Evolutionary and Conservation Genomics / herpetophile / Neotropics / Professor @Cornell transitioning to @UTAustin / Women & Diversity In Science","https://t.co/s2WfNHFeHU",FALSE,3702,888,56,2725,6309,2012-05-13 14:11:31,FALSE,"https://t.co/s2WfNHFeHU","http://zamudiolab.org",,"https://pbs.twimg.com/profile_banners/578991574/1582059432","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/2215016273/DSC04140_normal.jpg"
"x1328802210","x1414394272170889227",2021-07-12 01:20:47,"OSO_Tee","I am just all smiles and can't wait until July 26-31! 
<U+2728><U+0001F335><U+0001F344><U+0001F33A><U+0001F335><U+0001F333><U+0001F33E><U+0001F341><U+0001F33B><U+0001F337><U+0001F38D><U+0001F332><U+0001F33D><U+0001FAD0><U+0001F345><U+2728>
#BlackBotanistsWeek2021 @BlkBotanistsWk #BlackBotanicalLegacy #Botany2021 #Plants #BlackBotanists https://t.co/OGZDXv6Q4T","Twitter Web App",140,,,,FALSE,TRUE,0,11,,,"BlackBotanistsWeek2021",,,,,,,,,,,,,"x3300390725 x1283886282943365131","T_Marie_Wms BlkBotanistsWk","en",,,,,,,,,,,,,,,,"x1414250826235842562","I am just all smiles and can't wait until July 26-31! 
<U+2728><U+0001F335><U+0001F344><U+0001F33A><U+0001F335><U+0001F333><U+0001F33E><U+0001F341><U+0001F33B><U+0001F337><U+0001F38D><U+0001F332><U+0001F33D><U+0001FAD0><U+0001F345><U+2728>
#BlackBotanistsWeek2021 @BlkBotanistsWk #BlackBotanicalLegacy #Botany2021 #Plants #BlackBotanists https://t.co/OGZDXv6Q4T",2021-07-11 15:50:47,"Twitter Web App",38,11,"x3300390725","T_Marie_Wms","Dr. Tanisha M. Williams <U+0001F333> #BlackBotanistsWeek <U+0001F33A>",8103,2317,8614,"","Postdoc @BucknellU | PhD @UConn | Plant ecology, evolution, conservation, climate science, Bayesian statistics, population genetics | #Fulbright | #scicomm",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1414394272170889227","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x1328802210","x1414391782520102912",2021-07-12 01:10:53,"OSO_Tee","@OSO_Tee @ShellyGaynor Up all night! Let’s gooooooo #botany2021","Twitter Web App",82,,,,FALSE,TRUE,0,1,,,"botany2021",,,,,,,,,,,,,"x493887226 x1328802210 x822392948","MartineBotany OSO_Tee ShellyGaynor","en",,,,,,,,,,,,,,,,"x1414382538613796864","@OSO_Tee @ShellyGaynor Up all night! Let’s gooooooo #botany2021",2021-07-12 00:34:09,"Twitter for iPhone",4,1,"x493887226","MartineBotany","Chris Martine | Plants are Cool, Too!",8151,5034,20961,"Lewisburg, PA","FirstGen student and non-linear path-taker turned biology prof and YouTube host of ""Plants are Cool Too!"" He/him. #iamabotanist @BucknellU #Botany2021",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1414391782520102912","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x1328802210","x1413666533537112070",2021-07-10 01:09:00,"OSO_Tee","#Botany2021 we are looking for professional scientists in academia, teaching, museums, government, and industry to help review and give feedback on CV’s or resumes! Please sign up to help here: https://t.co/RuJGwri4xz https://t.co/DmJs9mq3pk","Twitter Web App",140,,,,FALSE,TRUE,0,8,,,"Botany2021",,,,,,,,,,,,,"x1258859535588118531","imenarv","en",,,,,,,,,,,,,,,,"x1413617921306382346","#Botany2021 we are looking for professional scientists in academia, teaching, museums, government, and industry to help review and give feedback on CV’s or resumes! Please sign up to help here: https://t.co/RuJGwri4xz https://t.co/DmJs9mq3pk",2021-07-09 21:55:50,"Twitter Web App",11,8,"x1258859535588118531","imenarv","imeña valdes",531,624,1048,"anishinaabe occupied land","MS student in @pbcresearch studying plant-animal interactions with @pbudburst | @botanical_ student rep | #FIUalum | (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1413666533537112070","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x1328802210","x1413560209734254595",2021-07-09 18:06:31,"OSO_Tee","Want to have more fun in #Botany2021? Come to our botanic trivia and win big prize! <U+0001F3C6>

Sign up here before July 18th! https://t.co/J7pR9RZqSq 

PIs are especially encouraged to team up with your students! 

See y'all there fellow #iamabotanist nerds! <U+0001F9D0><U+0001F33F><U+0001F913> https://t.co/Amqdq9zgLg","Twitter Web App",140,,,,FALSE,TRUE,0,39,,,"Botany2021",,,,,,,,,,,,,"x1035949079648460800","0_minyaaa","en",,,,,,,,,,,,,,,,"x1413499190047617026","Want to have more fun in #Botany2021? Come to our botanic trivia and win big prize! <U+0001F3C6>

Sign up here before July 18th! https://t.co/J7pR9RZqSq 

PIs are especially encouraged to team up with your students! 

See y'all there fellow #iamabotanist nerds! <U+0001F9D0><U+0001F33F><U+0001F913> https://t.co/Amqdq9zgLg",2021-07-09 14:04:03,"Twitter Web App",75,39,"x1035949079648460800","0_minyaaa","<U+95F5><U+5A05> (Min Ya | Minya)",5283,3580,3551,"Cambridge, MA","PhD candidate w. Prof. Elena Kramer at @HarvardOEB. Former student rep of @Botanical_. @MEME_evobio alumnus. She/Her. Plants. Development. Evolution.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1413560209734254595","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x1328802210","x1413556558970171392",2021-07-09 17:52:00,"OSO_Tee","Know someone interested in #botany grad school? Have them come to this #botany2021 pre-conference mixer. Also, I have 2 @NSF-funded #PhD fellowships for students joining my lab to study parent-offspring conflict in mosses. #PhDposition #phdscholarship Please RT &amp; get in touch! https://t.co/vF2nBgMGZx","Twitter Web App",140,,,,FALSE,TRUE,0,63,,,"botany botany2021",,,,,,,,,,,,,"x94356698","MossPlants","en",,,,,,,,,,,,,,,,"x1413550857396834311","Know someone interested in #botany grad school? Have them come to this #botany2021 pre-conference mixer. Also, I have 2 @NSF-funded #PhD fellowships for students joining my lab to study parent-offspring conflict in mosses. #PhDposition #phdscholarship Please RT &amp; get in touch! https://t.co/vF2nBgMGZx",2021-07-09 17:29:21,"Twitter Web App",61,63,"x94356698","MossPlants","Dr. Jessica Budke",1766,1136,4282,"Knoxville, TN","Assistant Professor @UTK_EEB & Director @UTKHerbarium | Plant development, physiology, systematics, & evolution | Member @UCWCWA | Tweets are my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1413556558970171392","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x1328802210","x1411895979603865601",2021-07-05 03:53:27,"OSO_Tee","Read the latest update about #Botany2021, get tips for recording &amp; uploading your presentation... &amp; don't forget to register by July 12!  We can't wait to ""see"" everyone at #Botany2021 later this month! https://t.co/gmYivNASCD #botany #iamabotanist https://t.co/fwyTIR8PlT","Twitter for Android",148,,,,FALSE,TRUE,0,3,,,"Botany2021",,,,,,,,,,,,,"x34286572","Botanical_","en",,,,,,,,,,,,,,,,"x1410954844622442499","Read the latest update about #Botany2021, get tips for recording &amp; uploading your presentation... &amp; don't forget to register by July 12!  We can't wait to ""see"" everyone at #Botany2021 later this month! https://t.co/gmYivNASCD #botany #iamabotanist https://t.co/fwyTIR8PlT",2021-07-02 13:33:43,"Twitter Web App",10,3,"x34286572","Botanical_","Botanical Society of America",13339,3436,8830,"St. Louis, MO","Promoting plant scientists, plant research, and plant admiration since 1893. Publisher of #AJB, #AppsPlantSci and #PlantSciBull. Become a #BSAmember today!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1411895979603865601","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x1328802210","x1413556580734443524",2021-07-09 17:52:06,"OSO_Tee","Next Friday (July 16th), at 3pm ET, we are hosting a Graduate School Mixer as part of our Pre-#Botany2021 networking events. 

Are you accepting graduate students for Fall 2022? Do you have grad school advice? RSVP for this event here: https://t.co/ZAMRXvKYM9","Twitter Web App",140,,,,FALSE,TRUE,0,18,,,"Botany2021",,,,,,,,,,,,,"x822392948","ShellyGaynor","en",,,,,,,,,,,,,,,,"x1413496028087693312","Next Friday (July 16th), at 3pm ET, we are hosting a Graduate School Mixer as part of our Pre-#Botany2021 networking events. 

Are you accepting graduate students for Fall 2022? Do you have grad school advice? RSVP for this event here: https://t.co/ZAMRXvKYM9",2021-07-09 13:51:29,"Twitter Web App",16,18,"x822392948","ShellyGaynor","Shelly Gaynor",1733,1519,3022,"Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution. @Botanical_ Student Rep & current @NSFGRFP fellow + past @iDigBio RA. #UCFAlumni (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OSO_Tee/status/1413556580734443524","Oluwatobi OSO <U+0001F1F3><U+0001F1EC><U+0001F1EE><U+0001F1F3><U+0001F1E8><U+0001F1E6>","Royalé Ville","Husband, Dad & Christian | researching around plant anatomy, evolution, botanical digitization, & maybe more - generalist? | never had a diary | maybe engaging","https://t.co/mryncyfonP",FALSE,2798,1781,8,6298,3434,2013-04-05 09:45:37,FALSE,"https://t.co/mryncyfonP","http://www.osoroyale.com",,"https://pbs.twimg.com/profile_banners/1328802210/1622579345","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1409745451750936577/de-ecnzC_normal.jpg"
"x866326297177452546","x1413580519527309313",2021-07-09 19:27:13,"RebeccaNShay","Know someone interested in #botany grad school? Have them come to this #botany2021 pre-conference mixer. Also, I have 2 @NSF-funded #PhD fellowships for students joining my lab to study parent-offspring conflict in mosses. #PhDposition #phdscholarship Please RT &amp; get in touch! https://t.co/vF2nBgMGZx","Twitter for Android",140,,,,FALSE,TRUE,0,63,,,"botany botany2021",,,,,,,,,,,,,"x94356698","MossPlants","en",,,,,,,,,,,,,,,,"x1413550857396834311","Know someone interested in #botany grad school? Have them come to this #botany2021 pre-conference mixer. Also, I have 2 @NSF-funded #PhD fellowships for students joining my lab to study parent-offspring conflict in mosses. #PhDposition #phdscholarship Please RT &amp; get in touch! https://t.co/vF2nBgMGZx",2021-07-09 17:29:21,"Twitter Web App",61,63,"x94356698","MossPlants","Dr. Jessica Budke",1766,1136,4282,"Knoxville, TN","Assistant Professor @UTK_EEB & Director @UTKHerbarium | Plant development, physiology, systematics, & evolution | Member @UCWCWA | Tweets are my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RebeccaNShay/status/1413580519527309313","Rebecca Shay","East Lansing, MI","Plant pathologist, budding mycologist, PhD candidate @michiganstateu, @UWMadison alum.  
Novice biker and knitter, she/her
@MSAStudents @GWIS_MSU",,FALSE,1004,1947,9,1620,7107,2017-05-21 16:14:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/866326297177452546/1495572082",,"http://pbs.twimg.com/profile_images/887792166457815043/8CkG9mRN_normal.jpg"
