"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@NaWei_Dr Racking up the live-tweet count crazy fast at #ESA2017! @jstephens224 &amp; I were talking about how impressed we were!",FALSE,1,"NaWei_Dr",2017-08-08 03:35:18,FALSE,NA,"894763923865346048","4008939737","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrAverbee",0,FALSE,FALSE,NA,NA
".@RepBonamici - don't neglect importance of cultural media. #Hiddenfigures had a huge impact. Republican colleagues raved about it. #ESA2017",FALSE,1,"ernlarson",2017-08-08 03:34:38,FALSE,"894763413020196865","894763758622351362","23591774","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ernlarson",0,FALSE,FALSE,NA,NA
"In Portland, OR for #ESA2017. Nice of the hotel to put Grant Wood artwork on the wall to make me feel right at home. https://t.co/pFCHSwlEwT",FALSE,0,NA,2017-08-08 03:34:08,FALSE,NA,"894763630289240064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LSchulteMoore",0,FALSE,FALSE,NA,NA
"RT @jbradleycook: 100% agree!

This is exactly why @ESA_org should sponsor a congressional fellowship through @AAAS_STPF 

#ESA2017 https:/…",FALSE,0,NA,2017-08-08 03:33:38,FALSE,NA,"894763507261911040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kwren88",1,TRUE,FALSE,NA,NA
".@RepBonamici - find out about industries in your district and frame envtl. issues in terms of impacts to them. #ESA2017",FALSE,0,"ernlarson",2017-08-08 03:33:16,FALSE,"894763044936458241","894763413020196865","23591774","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ernlarson",0,FALSE,FALSE,NA,NA
".@RepBonamici If your representative is doing something you support, let her/him know! Thank him/her. #ESA2017",FALSE,0,NA,2017-08-08 03:32:07,FALSE,NA,"894763124573618176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A_Hettinger",0,FALSE,FALSE,NA,NA
"RT @ESA_org: Question to @RepBonamici , How do we get our Mbrs of Congress to use science in policy decisions? #ESA2017",FALSE,0,NA,2017-08-08 03:31:54,FALSE,NA,"894763068789411842",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kwren88",1,TRUE,FALSE,NA,NA
"@RepBonamici: tell stories, connect them to values, and connect them to the economy. #ESA2017",FALSE,1,"RepBonamici",2017-08-08 03:31:53,FALSE,NA,"894763064045654017","558769636","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ESA_org",0,FALSE,FALSE,NA,NA
".@RepBonamici - be sure you know the story of your Rep and their background and info about your district. #ESA2017",FALSE,0,NA,2017-08-08 03:31:48,FALSE,NA,"894763044936458241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ernlarson",0,FALSE,FALSE,NA,NA
"Find out about your rep's background, say you're their constituent -@RepBonamici #ESA2017",FALSE,0,NA,2017-08-08 03:31:17,FALSE,NA,"894762914954985472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riverperkin",0,FALSE,FALSE,NA,NA
