"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ejrollinson @fmic_ Thx for another analysis! Curious how #ESASciComm &amp; #EngageESA; #sciart, #artscience… https://t.co/n8rkAVc3No",FALSE,0,"ejrollinson",2017-08-13 04:59:30,TRUE,"896454013012631552","896597054201503744","2724477037","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"@impactmedialab @duffy_ma #ESASciComm and #policy on the fly - #EngageESA in action at #ESA2017!",FALSE,0,"impactmedialab",2017-08-12 16:07:48,FALSE,"896250097083613186","896402848396849152","753754656619331584","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"Hopefully you'll see the result this week! And thanks again, @impactmedialab! #ESAscicomm https://t.co/vVOexMMZhX",FALSE,2,NA,2017-08-12 11:15:04,FALSE,NA,"896329181952438272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","duffy_ma",0,FALSE,FALSE,NA,NA
"@JacquelynGill @frameshiftllc @ESA_org Can the #ESASciComm section help in any way to make this happen?",FALSE,3,"JacquelynGill",2017-08-11 17:36:15,FALSE,"895868506150916096","896062722240004096","112475924","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"RT @DrRamBio: #ESA2017 is scientists talking to each other abt science! Let's train students to #scicomm too! #ESASciComm is needed NOW mor…",FALSE,0,NA,2017-08-11 16:39:48,FALSE,NA,"896048514198896640",NA,"<a href=""http://placeholder.place"" rel=""nofollow"">_open_science_</a>","_open_science_",1,TRUE,FALSE,NA,NA
"#ESA2017 is scientists talking to each other abt science! Let's train students to #scicomm too! #ESASciComm is needed NOW more than EVER!",FALSE,3,NA,2017-08-11 16:39:14,FALSE,NA,"896048374255931392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrRamBio",1,FALSE,FALSE,NA,NA
"RT @DrRamBio: #ESASciComm (&amp; #scicomm), Check out @flipgrid! The BEST video discussion platform to help students practice #Scicomm https://…",FALSE,0,NA,2017-08-11 16:30:43,FALSE,NA,"896046227627945991",NA,"<a href=""http://placeholder.place"" rel=""nofollow"">_open_science_</a>","_open_science_",1,TRUE,FALSE,NA,NA
"#ESASciComm (&amp; #scicomm), Check out @flipgrid! The BEST video discussion platform to help students practice #Scicomm https://t.co/kijAmvScyO",FALSE,2,NA,2017-08-11 16:29:02,FALSE,NA,"896045804875636737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrRamBio",1,FALSE,FALSE,NA,NA
"RT @DrRamBio: #ESASciComm (&amp; #scicomm-ers), Check out @flipgrid! An AMAZING tool to help your students practice #Scicomm? https://t.co/AzzN…",FALSE,0,NA,2017-08-11 15:48:22,FALSE,NA,"896035572216733696",NA,"<a href=""http://placeholder.place"" rel=""nofollow"">_open_science_</a>","_open_science_",1,TRUE,FALSE,NA,NA
"#ESASciComm (&amp; #scicomm-ers), Check out @flipgrid! An AMAZING tool to help your students practice #Scicomm? https://t.co/AzzN4FW4ij",FALSE,2,NA,2017-08-11 15:47:23,FALSE,NA,"896035325872672771",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrRamBio",1,FALSE,FALSE,NA,NA
