Number,Division,Common Name,Latin Binomial,Seed,Phylum,Class,Order,Family,Latin_Binomial,Genus,Phylomatic
1,Tiny Terrors,Pygmy Hog,Porcula salvania,1,Chordata,Mammalia,Artiodactyla,Suidae,Porcula_salvania,Porcula,suidae/porcula/Porcula_salvania
2,Tiny Terrors,Pudu,Pudu mephistophiles,2,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu_mephistophiles,Mapudungun,cervidae/mapudungun/Pudu_mephistophiles
3,Tiny Terrors,Raccoon Dog,Nyctereutes procyonoides,3,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes_procyonoides,Nyctereutes,canidae/nyctereutes/Nyctereutes_procyonoides
4,Tiny Terrors,Tree Hyrax,Dendrohyrax dorsalis,4,Chordata,Mammalia,Hyracoidea,Procaviidae,Dendrohyrax_dorsalis,Dendrohyrax,procaviidae/dendrohyrax/Dendrohyrax_dorsalis
5,Tiny Terrors,Kodkod,Leopardus guigna,5,Chordata,Mammalia,Carnivora,Felidae,Leopardus_guigna,Leopardus,felidae/leopardus/Leopardus_guigna
6,Tiny Terrors,Island Fox,Urocyon littoralis,6,Chordata,Mammalia,Carnivora,Canidae,Urocyon_littoralis,Urocyon,canidae/urocyon/Urocyon_littoralis
7,Tiny Terrors,Southern African Hedgehog,Atelerix frontalis,7,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Atelerix_frontalis,Atelerix,erinaceidae/atelerix/Atelerix_frontalis
8,Tiny Terrors,Finlayson's Squirrel,Callosciurus finlaysonii,8,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus_finlaysonii,Callosciurus,sciuridae/callosciurus/Callosciurus_finlaysonii
9,Tiny Terrors,Kowari,Dasyuroides byrnei,9,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyuroides_byrnei,Dasyuroides,dasyuridae/dasyuroides/Dasyuroides_byrnei
10,Tiny Terrors,Collared Pika,Ochotona collaris,10,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona_collaris,Ochotona,ochotonidae/ochotona/Ochotona_collaris
11,Tiny Terrors,Gray-bellied Caenolestid,Caenolestes caniventer,11,Chordata,Mammalia,Paucituberculata,Caenolestidae,Caenolestes_caniventer,Caenolestes,caenolestidae/caenolestes/Caenolestes_caniventer
12,Tiny Terrors,Least Chipmunk,Neotamias minimus,12,Chordata,Mammalia,Rodentia,Sciuridae,Neotamias_minimus,Neotamias,sciuridae/neotamias/Neotamias_minimus
13,Tiny Terrors,Bank Vole,Myodes glareolus,13,Chordata,Mammalia,Rodentia,Cricetidae,Myodes_glareolus,Myodes,cricetidae/myodes/Myodes_glareolus
14,Tiny Terrors,Northern Short-tailed Shrew,Blarina brevicauda,14,Chordata,Mammalia,Eulipotyphla,Soricidae,Blarina_brevicauda,Blarina,soricidae/blarina/Blarina_brevicauda
15,Tiny Terrors,Seba's Short-tailed Bat,Carollia perspicillata,15,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia_perspicillata,Carollia,phyllostomidae/carollia/Carollia_perspicillata
16,Tiny Terrors,Southern Ningaui,Ningaui yvonneae,16,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Ningaui_yvonneae,Ningaui,dasyuridae/ningaui/Ningaui_yvonneae
17,Double Trouble,Gorilla,Gorilla gorilla,1,Chordata,Mammalia,Primates,Hominidae,Gorilla_gorilla,Gorilla,hominidae/gorilla/Gorilla_gorilla
18,Double Trouble,Speartooth Shark,Glyphis glyphis,2,Chordata,Chondrichthyes,Carcharhiniformes,Carcharinidae,Glyphis_glyphis,Glyphis,carcharinidae/glyphis/Glyphis_glyphis
19,Double Trouble,Largetooth Sawfish,Pristis pristis,3,Chordata,Chondrichthyes,Pristiformes,Pristidae,Pristis_pristis,Pristis,pristidae/pristis/Pristis_pristis
20,Double Trouble,Indian Cobra,Naja naja,4,Chordata,Reptilia,Squamata,Elapidae,Naja_naja,Naja,elapidae/naja/Naja_naja
21,Double Trouble,Harbor Porpoise,Phocoena phocoena,5,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena_phocoena,Phocoena,phocoenidae/phocoena/Phocoena_phocoena
22,Double Trouble,Sarus Crane,Antigone antigone,6,Chordata,Aves,Gruiformes,Gruidae,Antigone_antigone,Antigone,gruidae/antigone/Antigone_antigone
23,Double Trouble,Red-Footed Booby,Sula sula,7,Chordata,Aves,Suliformes,Sulidae,Sula_sula,Sula,sulidae/sula/Sula_sula
24,Double Trouble,Wolverine,Gulo gulo,8,Chordata,Mammalia,Carnivora,Mustelidae,Gulo_gulo,Gulo,mustelidae/gulo/Gulo_gulo
25,Double Trouble,Lynx,Lynx lynx,9,Chordata,Mammalia,Carnivora,Felidae,Lynx_lynx,Lynx,felidae/lynx/Lynx_lynx
26,Double Trouble,Green Iguana,Iguana iguana,10,Chordata,Reptilia,Squamata,Iguanidae,Iguana_iguana,Iguana,iguanidae/iguana/Iguana_iguana
27,Double Trouble,Zokor,Myospalax myospalax,11,Chordata,Mammalia,Rodentia,Spalacidae,Myospalax_myospalax,Myospalax,spalacidae/myospalax/Myospalax_myospalax
28,Double Trouble,Seahorse,Hippocampus hippocampus,12,Chordata,Actinopterygii,Sygnathiformes,Sygnathidae,Hippocampus_hippocampus,Hippocampus,sygnathidae/hippocampus/Hippocampus_hippocampus
29,Double Trouble,Long-Legged Bat,Macrophyllum macrophyllum,13,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrophyllum_macrophyllum,Macrophyllum,phyllostomidae/macrophyllum/Macrophyllum_macrophyllum
30,Double Trouble,Acorn Barnacle,Balanus balanus,14,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus_balanus,Balanus,balanidae/balanus/Balanus_balanus
31,Double Trouble,Amoeba,Chaos chaos,15,(Protista),Tubulinea,Tubulinida,Amoebidae,Chaos_chaos,Chaos,amoebidae/chaos/Chaos_chaos
32,Double Trouble,Filarial Nematode,Loa loa,16,Nematoda,Chromadorea,Spirurida,Onchocercidae,Loa_loa,Loa,onchocercidae/loa/Loa_loa
