Plant,Family,Latin,genus,specific,phylomatsp,phylomat,Category,Dish,Type
onion,Amaryllidaceae,Allium cepa,Allium,cepa,Allium_cepa,amaryllidaceae/allium/Allium_cepa,side,dressing,ingredient
garlic,Amaryllidaceae,Allium sativum,Allium,sativum,Allium_sativum,amaryllidaceae/allium/Allium_sativum,main,stock,ingredient
celery,Apiaceae,Apium graveolens,Apium,graveolens,Apium_graveolens,apiaceae/apium/Apium_graveolens,side,dressing,ingredient
parsley,Apiaceae,Petroselinum crispum,Petroselinum,crispum,Petroselinum_crispum,apiaceae/petroselinum/Petroselinum_crispum,side,dressing,herb
carrot,Apiaceae,Daucus carota,Daucus,carota,Daucus_carota,apiaceae/daucus/Daucus_carota,side,carrots,primary
canola,Brassicaceae,Brassica napus,Brassica,napus,Brassica_napus,brassicaceae/brassica/Brassica_napus,multiple,all cookware,ingredient
pineapple,Bromeliaceae,Ananas comosus,Ananas,comosus,Ananas_comosus,bromeliaceae/ananas/Ananas_comosus,beverage,beverage,primary
cucumber,Cucurbitaceae,Cucumis sativus,Cucumis,sativus,Cucumis_sativus,cucurbitaceae/cucumis/Cucumis_sativus,side,sweet pickles,primary
cranberry,Ericaceae,Vaccinium macrocarpon,Vaccinium,macrocarpon,Vaccinium_macrocarpon,ericaceae/vaccinium/Vaccinium_macrocarpon,side,cranberry sauce,primary
blueberry,Ericaceae,Vaccinium corymbosum,Vaccinium,corymbosum,Vaccinium_corymbosum,ericaceae/vaccinium/Vaccinium_corymbosum,dessert,pie,primary
cassava,Euphorbiaceae,Manihot esculenta,Manihot,esculenta,Manihot_esculenta,euphorbiaceae/manihot/Manihot_esculenta,dessert,pie,ingredient
soy,Fabaceae,Glycine max,Glycine,max,Glycine_max,fabaceae/glycine/Glycine_max,side,dressing,ingredient
peas,Fabaceae,Pisum sativum,Pisum,sativum,Pisum_sativum,fabaceae/pisum/Pisum_sativum,side,peas,primary
rosemary,Lamiaceae,Rosmarinus officinalis,Rosmarinus,officinalis,Rosmarinus_officinalis,lamiaceae/rosmarinus/Rosmarinus_officinalis,multiple,dressing; turkey,herb
sage,Lamiaceae,Salvia officinalis,Salvia,officinalis,Salvia_officinalis,lamiaceae/salvia/Salvia_officinalis,side,dressing,herb
thyme,Lamiaceae,Thymus vulgaris,Thymus,vulgaris,Thymus_vulgaris,lamiaceae/thymus/Thymus_vulgaris,multiple,stuffing; turkey,herb
marjoram,Lamiaceae,Origanum majorana,Origanum,majorana,Origanum_majorana,lamiaceae/origanum/Origanum_majorana,multiple,stuffing; turkey,herb
oregano,Lamiaceae,Origanum vulgare,Origanum,vulgare,Origanum_vulgare,lamiaceae/origanum/Origanum_vulgare,main,brine,ingredient
basil,Lamiaceae,Ocimum basilicum,Ocimum,basilicum,Ocimum_basilicum,lamiaceae/ocimum/Ocimum_basilicum,main,brine,ingredient
cinnamon,Lauraceae,Cinnamomum verum,Cinnamomum,verum,Cinnamomum_verum,lauraceae/cinnamomum/Cinnamomum_verum,dessert,pie,spice
cassia,Lauraceae,Cinnamomum cassia,Cinnamomum,cassia,Cinnamomum_cassia,lauraceae/cinnamomum/Cinnamomum_cassia,dessert,pie,spice
bay leaf,Lauraceae,Laurus nobilis,Laurus,nobilis,Laurus_nobilis,lauraceae/laurus/Laurus_nobilis,main,stock,ingredient
banana,Musaceae,Musa cavendishii,Musa,cavendishii,Musa_cavendishii,musaceae/musa/Musa_cavendishii,breakfast,banana,primary
nutmeg,Myristicaceae,Myristica fragrans,Myristica,fragrans,Myristica_fragrans,myristicaceae/myristica/Myristica_fragrans,dessert,pie,spice
allspice,Myrtaceae,Pimenta dioica,Pimenta,dioica,Pimenta_dioica,myrtaceae/pimenta/Pimenta_dioica,dessert,pie,spice
