"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Mike Gramly, @guy_s_robinson &amp; Lerick Allen offer definitive evidence that humans killed the Bowser Rd #mastodon co… https://t.co/wP9bOihfs0",FALSE,0,NA,2018-04-16 19:15:26,TRUE,NA,"985959873430028288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TravelRobin",0,FALSE,FALSE,NA,NA
"RT @ejrollinson: We spent the evening at #NENHC18 checking out the Northern Forest Atlas with the incomparable @jerryjenkinswcs. I’m gonna…",FALSE,0,NA,2018-04-16 17:52:13,FALSE,NA,"985938930552967169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TravelRobin",2,TRUE,FALSE,NA,NA
"RT @Kitty_H_Liu: I second that thanks! Wonderfully engaging and invigorating. #NENHC18 @eaglehillus https://t.co/zH8815DE7a",FALSE,0,NA,2018-04-16 17:51:37,FALSE,NA,"985938777989373954",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TravelRobin",1,TRUE,FALSE,NA,NA
"Excellent work by Craig Frank, #fordham colleague, my dissertation reader, and physiology teacher! #NENHC18 https://t.co/VAAuvDn7Wp",FALSE,2,NA,2018-04-16 17:44:27,FALSE,NA,"985936975109779457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guy_s_robinson",0,FALSE,FALSE,NA,NA
"RT @MichaelSundue: Great fern field trip with Cathy Paris, Dave Barrington and Susan Fawcett at #NENHC18 despite the slow spring - check ou…",FALSE,0,NA,2018-04-16 17:35:46,FALSE,NA,"985934790724673539",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guy_s_robinson",0,TRUE,FALSE,NA,NA
"RT @TravelRobin: Melissa Ingala giving a highly informative talk about how Bats resist WNS @AMNH @FordhamGSAS #nenhc18 https://t.co/BJ1PqLG…",FALSE,0,NA,2018-04-16 17:34:17,FALSE,NA,"985934418433978374",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guy_s_robinson",2,TRUE,FALSE,NA,NA
"RT @byrdgyrl1: @CourtneyKingBio you did a great job presenting your research at #NENHC18 and I look forward to seeing the difference you ma…",FALSE,0,NA,2018-04-16 16:32:15,FALSE,NA,"985918804986335233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","youinthelab",1,TRUE,FALSE,NA,NA
"@CourtneyKingBio you did a great job presenting your research at #NENHC18 and I look forward to seeing the differen… https://t.co/RawbaUIlRq",FALSE,1,"CourtneyKingBio",2018-04-16 15:54:37,TRUE,NA,"985909334696759296","907801089759727616","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","byrdgyrl1",1,FALSE,FALSE,NA,NA
"I had such a fun and informational experience at my first #NENHC18, and am more excited than ever to start my caree… https://t.co/PXTETxTbex",FALSE,0,NA,2018-04-16 15:01:24,TRUE,NA,"985895942275641344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CourtneyKingBio",0,FALSE,FALSE,NA,NA
"RT @TravelRobin: Melissa Ingala from @FordhamGSAS talking about how bats resist White Nose Syndrome #nenhc18 https://t.co/6l3m3herst",FALSE,0,NA,2018-04-16 13:32:37,FALSE,NA,"985873600342384645",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfNickPaul",2,TRUE,FALSE,NA,NA
