"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3318281925","x1418771201724403712",2021-07-24 03:13:08,"JLandisBotany","Look at these beautiful drawings of #catsofbotany ! Teddy, Tundra, @JLandisBotany and I say thank you!!! <U+0001F496><U+0001F496><U+0001F496> https://t.co/BMXONGMrPA","Twitter for Android",127,,,,FALSE,TRUE,0,2,,,"catsofbotany",,,,,,,,,,,,,"x1287709536703447040 x3318281925","EMcCNicotiana JLandisBotany","en",,,,,,,,,,,,,,,,"x1418752448718643200","Look at these beautiful drawings of #catsofbotany ! Teddy, Tundra, @JLandisBotany and I say thank you!!! <U+0001F496><U+0001F496><U+0001F496> https://t.co/BMXONGMrPA",2021-07-24 01:58:37,"Twitter for Android",7,2,"x1287709536703447040","EMcCNicotiana","Elizabeth McCarthy",518,436,1104,"Cortland, NY","Assistant Professor at SUNY Cortland, she/her/hers, studying flower evolution in Nicotiana allopolyploids. Loves jazz hands and dorky jewelry! :)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JLandisBotany/status/1418771201724403712","Jacob Landis","New York, USA","Postdoctoral researcher studying genomics and adaptation || Cornell University || former NSF Plant Genome Postdoc || Black Lives Matter ||  he/him/his","https://t.co/YR1SNfBeMy",FALSE,665,649,0,1774,1981,2015-06-11 03:08:38,FALSE,"https://t.co/YR1SNfBeMy","https://jacoblandis.com/",,"https://pbs.twimg.com/profile_banners/3318281925/1440014365","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/882014230265737216/D9hLJZuc_normal.jpg"
"x3318281925","x1418764920737439745",2021-07-24 02:48:11,"JLandisBotany","final round of #catsofbotany for #botany2021 - hello to all the cats and cat owners whom i have now met! i wish i could doodle them all. let’s see what next year will bring!

@ejrollinson @T_Marie_Wms @0_minyaaa @EMcCNicotiana @SarraceniaMason https://t.co/LQa2HPbkpE","Twitter for Android",140,,,,FALSE,TRUE,0,8,,,"catsofbotany botany2021",,,,,,,,,,,,,"x880230541362163713","monostichies","en",,,,,,,,,,,,,,,,"x1418742088418709505","final round of #catsofbotany for #botany2021 - hello to all the cats and cat owners whom i have now met! i wish i could doodle them all. let’s see what next year will bring!

@ejrollinson @T_Marie_Wms @0_minyaaa @EMcCNicotiana @SarraceniaMason https://t.co/LQa2HPbkpE",2021-07-24 01:17:27,"Twitter for iPad",32,8,"x880230541362163713","monostichies","<U+0001F3F3><U+FE0F><U+200D><U+26A7><U+FE0F> clarice guan",147,74,198,"Ithaca, NY","phd candidate @SpechtLab + @Cornell.
thinking about #costaceae and why phyllotaxis exists; also, duckweed.
<U+0001F3F3><U+FE0F><U+200D><U+26A7><U+FE0F> nb they/them <U+0001F3F3><U+FE0F><U+200D><U+0001F308> #lgbtqinstem",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JLandisBotany/status/1418764920737439745","Jacob Landis","New York, USA","Postdoctoral researcher studying genomics and adaptation || Cornell University || former NSF Plant Genome Postdoc || Black Lives Matter ||  he/him/his","https://t.co/YR1SNfBeMy",FALSE,665,649,0,1774,1981,2015-06-11 03:08:38,FALSE,"https://t.co/YR1SNfBeMy","https://jacoblandis.com/",,"https://pbs.twimg.com/profile_banners/3318281925/1440014365","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/882014230265737216/D9hLJZuc_normal.jpg"
"x822392948","x1418753186559582215",2021-07-24 02:01:33,"ShellyGaynor","final round of #catsofbotany for #botany2021 - hello to all the cats and cat owners whom i have now met! i wish i could doodle them all. let’s see what next year will bring!

@ejrollinson @T_Marie_Wms @0_minyaaa @EMcCNicotiana @SarraceniaMason https://t.co/LQa2HPbkpE","Twitter for iPhone",140,,,,FALSE,TRUE,0,8,,,"catsofbotany botany2021",,,,,,,,,,,,,"x880230541362163713","monostichies","en",,,,,,,,,,,,,,,,"x1418742088418709505","final round of #catsofbotany for #botany2021 - hello to all the cats and cat owners whom i have now met! i wish i could doodle them all. let’s see what next year will bring!

@ejrollinson @T_Marie_Wms @0_minyaaa @EMcCNicotiana @SarraceniaMason https://t.co/LQa2HPbkpE",2021-07-24 01:17:27,"Twitter for iPad",32,8,"x880230541362163713","monostichies","<U+0001F3F3><U+FE0F><U+200D><U+26A7><U+FE0F> clarice guan",147,74,198,"Ithaca, NY","phd candidate @SpechtLab + @Cornell.
thinking about #costaceae and why phyllotaxis exists; also, duckweed.
<U+0001F3F3><U+FE0F><U+200D><U+26A7><U+FE0F> nb they/them <U+0001F3F3><U+FE0F><U+200D><U+0001F308> #lgbtqinstem",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418753186559582215","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418752915372744705",2021-07-24 02:00:28,"ShellyGaynor","Look at these beautiful drawings of #catsofbotany ! Teddy, Tundra, @JLandisBotany and I say thank you!!! <U+0001F496><U+0001F496><U+0001F496> https://t.co/BMXONGMrPA","Twitter for iPhone",127,,,,FALSE,TRUE,0,2,,,"catsofbotany",,,,,,,,,,,,,"x1287709536703447040 x3318281925","EMcCNicotiana JLandisBotany","en",,,,,,,,,,,,,,,,"x1418752448718643200","Look at these beautiful drawings of #catsofbotany ! Teddy, Tundra, @JLandisBotany and I say thank you!!! <U+0001F496><U+0001F496><U+0001F496> https://t.co/BMXONGMrPA",2021-07-24 01:58:37,"Twitter for Android",7,2,"x1287709536703447040","EMcCNicotiana","Elizabeth McCarthy",518,436,1104,"Cortland, NY","Assistant Professor at SUNY Cortland, she/her/hers, studying flower evolution in Nicotiana allopolyploids. Loves jazz hands and dorky jewelry! :)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418752915372744705","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418390594414600198",2021-07-23 02:00:44,"ShellyGaynor","@monostichies @TrinityDepatie @LizzWaring Mabel says ""Who dis??""

These are truly awesome! Thank you for capturing my #catsofbotany https://t.co/HMN3mT0RUN","Twitter for iPhone",89,"x1418368531649937409","x880230541362163713","monostichies",FALSE,FALSE,10,0,,,"catsofbotany",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1418390527616094211/pu/img/Zq382AU3ct0yJP28.jpg","https://t.co/HMN3mT0RUN","https://twitter.com/ShellyGaynor/status/1418390594414600198/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1418390527616094211/pu/img/Zq382AU3ct0yJP28.jpg","https://t.co/HMN3mT0RUN","https://twitter.com/ShellyGaynor/status/1418390594414600198/video/1",,"x880230541362163713 x1161299356969918465 x871921404","monostichies TrinityDepatie LizzWaring","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418390594414600198","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418241474853015559",2021-07-22 16:08:11,"ShellyGaynor","Come join #Botany2021 office hours! Students and ECR particularly encouraged. (We've already seen one of @ShellyGaynor's #CatsOfBotany.) 
Link: https://t.co/E8lhcrA6f5
https://t.co/PiMrcthvbN","Twitter for iPhone",140,,,,FALSE,TRUE,0,4,,,"Botany2021",,,,,,,,,,,,,"x1287910825269661696 x822392948","HilaryRoseD ShellyGaynor","en",,,,,,,,,,,,,,,,"x1418240983184015369","Come join #Botany2021 office hours! Students and ECR particularly encouraged. (We've already seen one of @ShellyGaynor's #CatsOfBotany.) 
Link: https://t.co/E8lhcrA6f5
https://t.co/PiMrcthvbN",2021-07-22 16:06:14,"Twitter Web App",5,4,"x1287910825269661696","HilaryRoseD","Hilary Rose Dawson",604,292,977,"Eugene, Oregon","Everything is about plants in the end 
she/her <U+0001F3F3><U+FE0F><U+200D><U+0001F308>  #WomenInSTEM
@SPA_research Proj mngr 
@UOregon PhD student
@collegeatlantic '18
#Botany2021 #IAmABotanist",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418241474853015559","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418613610348154889",2021-07-23 16:46:55,"ShellyGaynor","Ice cream lunch and cat who wants ice cream. #Botany2021 #catsofbotany https://t.co/cVxcj4EKtO","Twitter for iPhone",70,,,,FALSE,FALSE,31,0,,,"Botany2021 catsofbotany",,,,,"http://pbs.twimg.com/media/E6_tiryWYAQ7npq.jpg","https://t.co/cVxcj4EKtO","https://twitter.com/ShellyGaynor/status/1418613610348154889/photo/1","photo","http://pbs.twimg.com/media/E6_tiryWYAQ7npq.jpg http://pbs.twimg.com/media/E6_tir0XMAA5H6Z.jpg","https://t.co/cVxcj4EKtO https://t.co/cVxcj4EKtO","https://twitter.com/ShellyGaynor/status/1418613610348154889/photo/1 https://twitter.com/ShellyGaynor/status/1418613610348154889/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418613610348154889","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418226263714504705",2021-07-22 15:07:45,"ShellyGaynor","@AndiWolfe That is a beautiful #catsofbotany mug! My sassy cat mug: https://t.co/Kn8ewckfXe","Twitter for iPhone",56,"x1418223309062172684","x33752609","AndiWolfe",FALSE,FALSE,2,0,,,"catsofbotany",,,,,"http://pbs.twimg.com/media/E66NRCuVkAg5rMZ.jpg","https://t.co/Kn8ewckfXe","https://twitter.com/ShellyGaynor/status/1418226263714504705/photo/1","photo","http://pbs.twimg.com/media/E66NRCuVkAg5rMZ.jpg","https://t.co/Kn8ewckfXe","https://twitter.com/ShellyGaynor/status/1418226263714504705/photo/1",,"x33752609","AndiWolfe","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418226263714504705","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418276717316214789",2021-07-22 18:28:14,"ShellyGaynor","#catsofbotany #Botany2021 my cat says I should watch the next talk on my phone. https://t.co/8ohIvu7cDI","Twitter Web App",118,,,,FALSE,TRUE,0,1,,,"catsofbotany Botany2021",,,,,"http://pbs.twimg.com/media/E6666grXsAE8pkr.jpg","https://t.co/8ohIvu7cDI","https://twitter.com/AndiWolfe/status/1418276454710775820/photo/1","photo","http://pbs.twimg.com/media/E6666grXsAE8pkr.jpg","https://t.co/8ohIvu7cDI","https://twitter.com/AndiWolfe/status/1418276454710775820/photo/1",,"x33752609","AndiWolfe","en",,,,,,,,,,,,,,,,"x1418276454710775820","#catsofbotany #Botany2021 my cat says I should watch the next talk on my phone. https://t.co/8ohIvu7cDI",2021-07-22 18:27:11,"Twitter for iPhone",12,1,"x33752609","AndiWolfe","Dr. Andi Wolfe, Professor",900,1175,28128,"Ohio, USA",". . . is a scientist, artist, and musician. Juggling multiple tasks is a fine art. Opinions are my own.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418276717316214789","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
"x822392948","x1418288589121675265",2021-07-22 19:15:24,"ShellyGaynor","Incoming @AmSocPlantTaxon president address at #Botany2021 with one of my #catsofbotany https://t.co/oCh2DRglDc","Twitter for iPhone",87,,,,FALSE,FALSE,21,1,,,"Botany2021 catsofbotany",,,,,"http://pbs.twimg.com/media/E67F8QgXIAgyGEF.jpg","https://t.co/oCh2DRglDc","https://twitter.com/ShellyGaynor/status/1418288589121675265/photo/1","photo","http://pbs.twimg.com/media/E67F8QgXIAgyGEF.jpg","https://t.co/oCh2DRglDc","https://twitter.com/ShellyGaynor/status/1418288589121675265/photo/1",,"x123321271","AmSocPlantTaxon","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShellyGaynor/status/1418288589121675265","Shelly Gaynor","Florida, USA","PhD Candidate - @soltislab at @UF - I study polyploidy evolution.  current @NSFGRFP fellow + past @iDigBio RA & @Botanical_ Student Rep. #UCFAlumni (she/her)","https://t.co/XKWfn4vrST",FALSE,1826,1592,18,3394,22837,2012-09-14 00:10:49,FALSE,"https://t.co/XKWfn4vrST","http://mlgaynor.com",,"https://pbs.twimg.com/profile_banners/822392948/1542337824","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1105496854064705537/nyhAtliP_normal.jpg"
