"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ejrollinson @fmic_ Thx for another analysis! Curious how #ESASciComm &amp; #EngageESA; #sciart, #artscience… https://t.co/n8rkAVc3No",FALSE,0,"ejrollinson",2017-08-13 04:59:30,TRUE,"896454013012631552","896597054201503744","2724477037","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"@impactmedialab @duffy_ma #ESASciComm and #policy on the fly - #EngageESA in action at #ESA2017!",FALSE,0,"impactmedialab",2017-08-12 16:07:48,FALSE,"896250097083613186","896402848396849152","753754656619331584","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"RT @Dalal_EL_Hanna: #ESA2017 #engageESA #scicomm workshop: ask yourself what your goal is, who do you need to talk to to reach them, Where…",FALSE,0,NA,2017-08-12 13:08:57,FALSE,NA,"896357840851521540",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bird_Wells",2,TRUE,FALSE,NA,NA
"#scicommjob with @arcticdatactr #ESASciComm #EngageESA https://t.co/QTeIF3r5Ni",FALSE,0,NA,2017-08-11 15:41:43,FALSE,NA,"896033897477062657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"#scicommjob w/ @DataONEorg #ESASciComm #engageesa https://t.co/R2YWwC24x0",FALSE,0,NA,2017-08-11 15:33:57,FALSE,NA,"896031945032728576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","commnatural",0,FALSE,FALSE,NA,NA
"Thanks to all that came out to #EngageESA. Inspired by your engagement stories <ed><U+00A0><U+00BE><ed><U+00B4><U+00A9><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> #ESA2017 https://t.co/HAL9hK4oDp",FALSE,2,NA,2017-08-10 05:59:38,FALSE,NA,"895525025972760576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","melissakenney",0,FALSE,FALSE,NA,NA
"RT @melissakenney: <ed><U+00A0><U+00BD><ed><U+00B3><U+0086><ed><U+00A0><U+00BD><ed><U+00B7><U+00A3> OPEN @ESA_org Public Engagement Social TONIGHT 6:30-8 Portland Blrm 252. <ed><U+00A0><U+00BC><ed><U+00BD><U+0092><ed><U+00A0><U+00BE><ed><U+00B5><U+0095><ed><U+00A0><U+00BE><ed><U+00B5><U+0096><ed><U+00A0><U+00BE><ed><U+00B7><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>#ESA2017 #EngageESA @COMPASSscicomm @M…",FALSE,0,NA,2017-08-09 23:39:01,FALSE,NA,"895429237850554368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmandaConsSci",2,TRUE,FALSE,NA,NA
"The #SciEngage #ESASciComm activity list runneth over, but I hope to see folks at tonight's #EngageESA social! https://t.co/YDDN7jasKZ",FALSE,2,NA,2017-08-09 23:36:17,FALSE,NA,"895428549326196736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EngageClimate",0,FALSE,FALSE,NA,NA
"RT @melissakenney: <ed><U+00A0><U+00BD><ed><U+00B3><U+0086><ed><U+00A0><U+00BD><ed><U+00B7><U+00A3> OPEN @ESA_org Public Engagement Social TONIGHT 6:30-8 Portland Blrm 252. <ed><U+00A0><U+00BC><ed><U+00BD><U+0092><ed><U+00A0><U+00BE><ed><U+00B5><U+0095><ed><U+00A0><U+00BE><ed><U+00B5><U+0096><ed><U+00A0><U+00BE><ed><U+00B7><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>#ESA2017 #EngageESA @COMPASSscicomm @M…",FALSE,0,NA,2017-08-09 23:32:59,FALSE,NA,"895427720485588992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeetAScientist",2,TRUE,FALSE,NA,NA
"<ed><U+00A0><U+00BD><ed><U+00B3><U+0086><ed><U+00A0><U+00BD><ed><U+00B7><U+00A3> OPEN @ESA_org Public Engagement Social TONIGHT 6:30-8 Portland Blrm 252. <ed><U+00A0><U+00BC><ed><U+00BD><U+0092><ed><U+00A0><U+00BE><ed><U+00B5><U+0095><ed><U+00A0><U+00BE><ed><U+00B5><U+0096><ed><U+00A0><U+00BE><ed><U+00B7><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7>#ESA2017 #EngageESA @COMPASSscicomm @MeetAScientist",FALSE,4,NA,2017-08-09 23:31:39,FALSE,NA,"895427383313833986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melissakenney",2,FALSE,FALSE,NA,NA
